状态,国家, 媒体名称,更新情况,更新率     ,媒体网址,是否可访问,2025-11-10近30天是否更新,可能原因
✗,Myanmar,Myanmar Business Today,0/4,0.0%,https://mmbiztoday.com,1,0,最后一次更新：2022-7-19
✗,Myanmar,Popular Myanmay,0/2,0.0%,https://www.popularmyanmar.com/,1,1,
✗,Philippines,Business Mirror,0/20,0.0%,https://businessmirror.com.ph/,1,1,claudflare人机校验
✗,Philippines,Inquirer,0/17,0.0%,https://newsinfo.inquirer.net/,1,1,
✗,Philippines,Interaksyon,0/2,0.0%,https://interaksyon.philstar.com/,1,1,claudflare人机校验
✗,Philippines,Manila Bulletin,0/14,0.0%,https://mb.com.ph/,1,1,claudflare人机校验
✗,Philippines,The Philippine Star,0/5,0.0%,https://www.philstar.com/,1,1,claudflare人机校验
✗,Singapore,New Paper,0/2,0.0%,https://tnp.straitstimes.com/,1,1,
✗,Singapore,Today,0/5,0.0%,https://www.todayonline.com/,1,0,最后一次更新：2024-9-28
✗,Thailand,Bangkok Post,0/4,0.0%,https://www.bangkokpost.com/,1,1,
✗,Thailand,MCOT,0/8,0.0%,https://tna.mcot.net/,1,1,
✗,Thailand,Prachatai English,0/5,0.0%,https://prachatai.com/english/,1,1,
✗,Thailand,Thai Enquirer,0/3,0.0%,https://www.thaienquirer.com/,1,1,claudflare人机校验;访问有可能520服务器错误
✗,Thailand,Thai Post,0/12,0.0%,https://www.thaipost.net/main/,1,1,
✗,Thailand,The Thaiger,0/9,0.0%,https://thethaiger.com/,1,1,claudflare人机校验
✗,Thailand,世界日报,0/5,0.0%,http://www.udnbkk.com/,1,0,最后一次更新：2024-12-31
✗,Thailand,星暹日报,0/6,0.0%,http://www.singsianyerpao.com/,0,0,无法访问
✗,Vietnam,Ba Ria Vung Tau,0/8,0.0%,http://www.baobariavungtau.com.vn/,1,0,最后一次更新：2025-9-20
✗,Vietnam,Bac Kan,0/6,0.0%,http://baobackan.com.vn/,0,0,404
✗,Vietnam,Bac Lieu,0/6,0.0%,http://www.baobaclieu.vn/,0,0,404
✗,Vietnam,Binh Duong,0/5,0.0%,http://baobinhduong.vn/,1,1,
✗,Vietnam,Ha Noi Moi,0/8,0.0%,http://hanoimoi.com.vn/,1,1,claudflare人机校验
✗,Vietnam,Kinhte Saigon Online,0/8,0.0%,https://thesaigontimes.vn/tai-chinh-ngan-hang/ngan-hang/,1,1,
✗,Vietnam,Nguoi Lao Dong,0/6,0.0%,https://nld.com.vn/,1,1,
✗,Vietnam,Phu Yen,0/7,0.0%,https://baophuyen.vn/,1,0,最后一次更新：2025-6-30
✗,Vietnam,Saigon Giai Phong,0/7,0.0%,https://sggpnews.org.vn/,1,1,
✗,Vietnam,VTV,0/7,0.0%,https://vtv.vn/,1,1,
✗,Vietnam,Vietnam Net,0/6,0.0%,https://vietnamnet.vn/,1,1,
✗,Vietnam,VnExpress1,0/1,0.0%,https://vnexpress.net/,1,1,
✓,Thailand,Chiang Rai Times,1/13,7.7%,https://www.chiangraitimes.com/,1,1,
✓,Indonesia,Rakyat Merdeka,1/10,10.0%,https://rm.id/,1,1,
✓,Vietnam,Binh Phuoc,1/9,11.1%,https://baobinhphuoc.com.vn/,1,1,
✓,Malaysia,光明日报,1/7,14.3%,https://guangming.com.my/,,,
✓,Thailand,Post Day,2/14,14.3%,https://www.posttoday.com/,,,
✓,Philippines,Sun Star,5/33,15.2%,https://www.sunstar.com.ph/,,,
✓,Indonesia,Media Indonesia,2/12,16.7%,https://mediaindonesia.com/,,,
✓,Indonesia,The Bali Times,1/5,20.0%,https://www.thebalitimes.com/,,,
✓,Malaysia,Malay Mail,1/5,20.0%,https://www.malaymail.com/,,,
✓,Myanmar,Shan News (English),1/5,20.0%,https://english.shannews.org/,,,
✓,Vietnam,The Saigon Times,2/9,22.2%,https://english.thesaigontimes.vn/,,,
✓,Singapore,The Business Times,3/13,23.1%,https://www.businesstimes.com.sg/,,,
✓,Malaysia,The Sun,1/4,25.0%,https://www.thesundaily.my/,,,
✓,Myanmar,Shan News (Burmese),1/4,25.0%,https://burmese.shannews.org/,,,
✓,Philippines,ABS CBN,1/4,25.0%,https://news.abs-cbn.com/,,,
✓,Thailand,The Nation,2/8,25.0%,https://www.nationthailand.com/,,,
✓,Vietnam,Voice of Vietnam-vietnam,2/8,25.0%,https://vov.vn/,,,
✓,Singapore,The Online Citizen,6/22,27.3%,https://www.theonlinecitizen.com/,,,
✓,Thailand,Positioning,3/10,30.0%,https://positioningmag.com/,,,
✓,Indonesia,Bisnis Indonesia,8/25,32.0%,https://www.bisnis.com/,,,
✓,Malaysia,Daily Express,2/6,33.3%,http://www.dailyexpress.com.my/,,,
✓,Philippines,Davao Today,2/6,33.3%,https://davaotoday.com/,,,
✓,Vietnam,Vietnam Economy,7/19,36.8%,http://vneconomy.vn/,,,
✓,Indonesia,The Jakarta Post,4/10,40.0%,https://www.thejakartapost.com/,,,
✓,Malaysia,南洋商报,6/15,40.0%,https://www.enanyang.my/,,,
✓,Vietnam,Saigon Giai Phong-vi,2/5,40.0%,https://www.sggp.org.vn/,,,
✓,Indonesia,Kontan,6/14,42.9%,https://insight.kontan.co.id/,,,
✓,Thailand,Daily News,3/7,42.9%,https://www.dailynews.co.th/,,,
✓,Vietnam,Kinhte Doihi,5/11,45.5%,https://kinhtedothi.vn/,,,
✓,Singapore,Lianhe Zaobao,16/33,48.5%,https://www.zaobao.com.sg/,,,
✓,Cambodia,The Cambodia Daily,1/2,50.0%,https://www.cambodiadaily.com/,,,
✓,Cambodia,The Cambodia Daily English,2/4,50.0%,https://english.cambodiadaily.com/,,,
✓,Cambodia,柬中时报,4/8,50.0%,https://cc-times.com/,,,
✓,Myanmar,Kachin News (Burmese),2/4,50.0%,https://burmese.kachinnews.com/,,,
✓,Thailand,Siam Rath,8/16,50.0%,https://siamrath.co.th/,,,
✓,Thailand,Thai Examiner,5/10,50.0%,https://www.thaiexaminer.com/,,,
✓,Indonesia,Republika,18/35,51.4%,https://republika.co.id/,,,
✓,Thailand,Matichon,7/13,53.8%,https://www.matichon.co.th/,,,
✓,Philippines,Tribune,4/7,57.1%,https://tribune.net.ph/,,,
✓,Thailand,Thai Rath,7/12,58.3%,https://www.thairath.co.th/,,,
✓,Malaysia,New Straits Times,6/10,60.0%,https://www.nst.com.my/,,,
✓,Malaysia,星洲日报,3/5,60.0%,https://www.sinchew.com.my/,,,
✓,Singapore,The Independent,3/5,60.0%,https://theindependent.sg/,,,
✓,Vietnam,Nhan Dan,10/16,62.5%,https://en.nhandan.vn/,,,
✓,Vietnam,Tuoi Tre News,5/8,62.5%,https://tuoitrenews.vn/,,,
✓,Malaysia,中国报,21/33,63.6%,https://www.chinapress.com.my/,,,
✓,Cambodia,柬华日报,2/3,66.7%,http://jianhuadaily.com/,,,
✓,Malaysia,Malaysian Tribune,2/3,66.7%,https://malaysiantribune.com/,,,
✓,Myanmar,Daily Eleven,4/6,66.7%,https://news-eleven.com/,,,
✓,Indonesia,印度尼西亚商报,5/7,71.4%,http://www.shangbaoindonesia.com/,,,
✓,Vietnam,Vietnam Plus,5/7,71.4%,https://en.vietnamplus.vn/,,,
✓,Malaysia,Kosmo!,3/4,75.0%,https://www.kosmo.com.my/,,,
✓,Indonesia,Koran Jakarta,7/9,77.8%,https://koran-jakarta.com/,,,
✓,Thailand,Kom Chad Luek,8/10,80.0%,https://www.komchadluek.net,,,
✓,Vietnam,Cong an,4/5,80.0%,https://congan.com.vn/,,,
✓,Vietnam,Viet Nam News,4/5,80.0%,https://vietnamnews.vn/,,,
✓,Malaysia,Sinar Harian,9/11,81.8%,https://www.sinarharian.com.my/,,,
✓,Malaysia,The Malaysian Reserve,9/11,81.8%,https://themalaysianreserve.com/,,,
✓,Cambodia,Kampuchea Thmey,10/12,83.3%,http://www.kampucheathmey.com/,,,
✓,Vietnam,Dan Tri,11/13,84.6%,https://dantri.com.vn/,,,
✓,Indonesia,Kompas,6/7,85.7%,https://kompas.id/,,,
✓,Thailand,Khao Sod,6/7,85.7%,https://www.khaosod.co.th/home,,,
✓,Indonesia,Antaranews,132/151,87.4%,https://www.antaranews.com/,,,
✓,Malaysia,The Star,7/8,87.5%,https://www.thestar.com.my/,,,
✓,Cambodia,Kohsantepheap Daily,8/9,88.9%,https://kohsantepheapdaily.com.kh/,,,
✓,Thailand,Naew Na,8/9,88.9%,https://www.naewna.com/,,,
✓,Myanmar,Democratic Voice of Burma,11/12,91.7%,http://burmese.dvb.no/,,,
✓,Singapore,Strait Times,23/25,92.0%,https://www.straitstimes.com/global,,,
✓,Malaysia,Berita Harian,13/14,92.9%,https://www.bharian.com.my/,,,
✓,Philippines,Business World,13/14,92.9%,https://www.bworldonline.com/,,,
✓,Cambodia,AKP,4/4,100.0%,http://www.akp.gov.kh/,,,
✓,Laos,Pathet Lao-English,6/6,100.0%,http://kpl.gov.la/En/Default.aspx,,,
✓,Laos,Pathet Lao-Lao,6/6,100.0%,https://kpl.gov.la/Default.aspx,,,
✓,Laos,The Laotian Times,5/5,100.0%,https://laotiantimes.com/,,,
✓,Malaysia,Astro Awani,4/4,100.0%,https://www.astroawani.com/,,,
✓,Malaysia,Harian Metro,5/5,100.0%,https://www.hmetro.com.my/,,,
✓,Malaysia,Malaysiakini,2/2,100.0%,https://www.malaysiakini.com/en,,,
✓,Malaysia,The Borneo Post,4/4,100.0%,https://www.theborneopost.com/,,,
✓,Malaysia,Utusan Malaysia,3/3,100.0%,https://www.utusan.com.my/,,,
✓,Myanmar,Frontier Myanmar,1/1,100.0%,https://www.frontiermyanmar.net/en/,,,
✓,Myanmar,Global New Light Of Myanmar,8/8,100.0%,https://www.gnlm.com.mm/,,,
✓,Myanmar,Irrawaddy,3/3,100.0%,https://www.irrawaddy.com/,,,
✓,Myanmar,Myawady Daily,7/7,100.0%,https://myawady.net.mm/,,,
✓,Myanmar,Thit Htoo Lwin,1/1,100.0%,http://www.thithtoolwin.com/,,,
✓,Philippines,Abante Tonite,3/3,100.0%,https://tonite.abante.com.ph/,,,
✓,Philippines,PNA,8/8,100.0%,https://www.pna.gov.ph/,,,
✓,Philippines,Philippines News,1/1,100.0%,https://philnews.ph/,,,
✓,Philippines,The Manila Times,6/6,100.0%,https://www.manilatimes.net/,,,
✓,Philippines,联合日报,5/5,100.0%,http://www.unitednews.net.ph/,,,
✓,Singapore,BeritaHarian,3/3,100.0%,https://www.beritaharian.sg/,,,
✓,Singapore,Mothership,3/3,100.0%,https://mothership.sg/,,,
✓,Thailand,Prachatai,10/10,100.0%,https://prachatai.com/,,,
✓,Vietnam,An Giang,4/4,100.0%,https://baoangiang.com.vn/,,,
✓,Vietnam,Công an Nhân dân,4/4,100.0%,https://cand.com.vn/,,,
✓,Vietnam,Dau Tu,9/9,100.0%,https://baodautu.vn/,,,
✓,Vietnam,Lao Dong,7/7,100.0%,https://laodong.vn/,,,
✓,Vietnam,Nhan Dan-vi,10/10,100.0%,https://en.nhandan.vn/,,,
✓,Vietnam,Quan Doi Nhan Dan,6/6,100.0%,https://www.qdnd.vn/,,,
✓,Vietnam,Thanh Nien,5/5,100.0%,https://thanhnien.vn/,,,
✓,Vietnam,Thông Tấn Xã Việt Nam,4/4,100.0%,https://vnanet.vn/vi/,,,
✓,Vietnam,Tien Phong,12/12,100.0%,https://tienphong.vn/,,,
✓,Vietnam,Vietnam Investment Review,8/8,100.0%,https://vir.com.vn/,,,
✓,Vietnam,VnExpress,7/7,100.0%,https://vnexpress.net/,,,
✓,Vietnam,Voice of Vietnam,5/5,100.0%,https://english.vov.vn/en,,,
✗,Indonesia,Indopos,0/8,0.0%,https://indopos.co.id/,1,1,""
