状态,国家, 媒体名称,更新情况,更新率     ,媒体网址,是否可访问,2025-11-10近30天是否更新,可能原因
✗,Thailand,Thai Post,0/12,0.0%,https://www.thaipost.net/main/
✗,Thailand,世界日报,0/5,0.0%,http://www.udnbkk.com/
✗,Thailand,星暹日报,0/6,0.0%,http://www.singsianyerpao.com/
✗,Vietnam,Ba Ria Vung Tau,0/8,0.0%,http://www.baobariavungtau.com.vn/
✗,Vietnam,Bac Kan,0/6,0.0%,http://baobackan.com.vn/
✗,Vietnam,Bac Lieu,0/6,0.0%,http://www.baobaclieu.vn/
✗,Vietnam,Binh Duong,0/5,0.0%,http://baobinhduong.vn/
✗,Vietnam,Binh Phuoc,0/9,0.0%,https://baobinhphuoc.com.vn/
✗,Vietnam,Ha Noi Moi,0/8,0.0%,http://hanoimoi.com.vn/
✗,Vietnam,Kinhte Saigon Online,0/8,0.0%,https://thesaigontimes.vn/tai-chinh-ngan-hang/ngan-hang/
✗,Vietnam,Nguoi Lao Dong,0/6,0.0%,https://nld.com.vn/
✗,Vietnam,Phu Yen,0/7,0.0%,https://baophuyen.vn/
✗,Vietnam,Saigon Giai Phong,0/7,0.0%,https://sggpnews.org.vn/
✗,Vietnam,Tien Phong,0/12,0.0%,https://tienphong.vn/
✗,Vietnam,Tuoi Tre News,0/8,0.0%,https://tuoitrenews.vn/
✗,Vietnam,VTV,0/7,0.0%,https://vtv.vn/
✗,Vietnam,Viet Nam News,0/5,0.0%,https://vietnamnews.vn/
✗,Vietnam,Vietnam Economy,0/19,0.0%,http://vneconomy.vn/
✗,Vietnam,Vietnam Investment Review,0/8,0.0%,https://vir.com.vn/
✗,Vietnam,Vietnam Net,0/6,0.0%,https://vietnamnet.vn/
✗,Vietnam,Vietnam Plus,0/7,0.0%,https://en.vietnamplus.vn/
✗,Vietnam,VnExpress,0/7,0.0%,https://vnexpress.net/
✗,Vietnam,VnExpress1,0/1,0.0%,https://vnexpress.net/
✗,Vietnam,Voice of Vietnam,0/5,0.0%,https://english.vov.vn/en
✗,Vietnam,Voice of Vietnam-vietnam,0/8,0.0%,https://vov.vn/
✓,Indonesia,Bisnis Indonesia,2/25,8.0%,https://www.bisnis.com/
✓,Indonesia,Republika,3/35,8.6%,https://republika.co.id/
✓,Indonesia,Rakyat Merdeka,1/10,10.0%,https://rm.id/
✓,Cambodia,The Phnom Penh Post,1/9,11.1%,https://www.phnompenhpost.com/
✓,Malaysia,南洋商报,2/15,13.3%,https://www.enanyang.my/
✓,Thailand,Post Day,2/14,14.3%,https://www.posttoday.com/
✓,Indonesia,Media Indonesia,2/12,16.7%,https://mediaindonesia.com/
✓,Philippines,Davao Today,1/6,16.7%,https://davaotoday.com/
✓,Thailand,Siam Rath,3/16,18.8%,https://siamrath.co.th/
✓,Indonesia,The Bali Times,1/5,20.0%,https://www.thebalitimes.com/
✓,Thailand,The Nation,2/8,25.0%,https://www.nationthailand.com/
✓,Philippines,Sun Star,9/33,27.3%,https://www.sunstar.com.ph/
✓,Vietnam,Kinhte Doihi,3/11,27.3%,https://kinhtedothi.vn/
✓,Myanmar,Myawady Daily,2/7,28.6%,https://myawady.net.mm/
✓,Thailand,Positioning,3/10,30.0%,https://positioningmag.com/
✓,Malaysia,Daily Express,2/6,33.3%,http://www.dailyexpress.com.my/
✓,Myanmar,Kachin News (English),1/3,33.3%,https://kachinnews.com/
✓,Thailand,Chiang Rai Times,5/13,38.5%,https://www.chiangraitimes.com/
✓,Singapore,The Independent,2/5,40.0%,https://theindependent.sg/
✓,Indonesia,Kontan,6/14,42.9%,https://insight.kontan.co.id/
✓,Vietnam,The Saigon Times,4/9,44.4%,https://english.thesaigontimes.vn/
✓,Cambodia,Kampuchea Thmey,6/12,50.0%,http://www.kampucheathmey.com/
✓,Myanmar,Kachin News (Burmese),2/4,50.0%,https://burmese.kachinnews.com/
✓,Myanmar,Popular Myanmay,1/2,50.0%,https://www.popularmyanmar.com/
✓,Thailand,Thai Examiner,5/10,50.0%,https://www.thaiexaminer.com/
✓,Vietnam,Thông Tấn Xã Việt Nam,2/4,50.0%,https://vnanet.vn/vi/
✓,Malaysia,中国报,19/33,57.6%,https://www.chinapress.com.my/
✓,Singapore,Lianhe Zaobao,19/33,57.6%,https://www.zaobao.com.sg/
✓,Malaysia,Malay Mail,3/5,60.0%,https://www.malaymail.com/
✓,Cambodia,柬华日报,2/3,66.7%,http://jianhuadaily.com/
✓,Thailand,Thai Rath,8/12,66.7%,https://www.thairath.co.th/
✓,Vietnam,Nhan Dan,11/16,68.8%,https://en.nhandan.vn/
✓,Malaysia,Kosmo!,3/4,75.0%,https://www.kosmo.com.my/
✓,Cambodia,Kohsantepheap Daily,7/9,77.8%,https://kohsantepheapdaily.com.kh/
✓,Vietnam,Dau Tu,7/9,77.8%,https://baodautu.vn/
✓,Malaysia,Harian Metro,4/5,80.0%,https://www.hmetro.com.my/
✓,Malaysia,New Straits Times,8/10,80.0%,https://www.nst.com.my/
✓,Malaysia,星洲日报,4/5,80.0%,https://www.sinchew.com.my/
✓,Thailand,Kom Chad Luek,8/10,80.0%,https://www.komchadluek.net
✓,Vietnam,Cong an,4/5,80.0%,https://congan.com.vn/
✓,Vietnam,Saigon Giai Phong-vi,4/5,80.0%,https://www.sggp.org.vn/
✓,Indonesia,Antaranews,123/151,81.5%,https://www.antaranews.com/
✓,Malaysia,The Malaysian Reserve,9/11,81.8%,https://themalaysianreserve.com/
✓,Laos,Pathet Lao-English,5/6,83.3%,http://kpl.gov.la/En/Default.aspx
✓,Vietnam,Dan Tri,11/13,84.6%,https://dantri.com.vn/
✓,Indonesia,Kompas,6/7,85.7%,https://kompas.id/
✓,Indonesia,印度尼西亚商报,6/7,85.7%,http://www.shangbaoindonesia.com/
✓,Philippines,Tribune,6/7,85.7%,https://tribune.net.ph/
✓,Malaysia,The Star,7/8,87.5%,https://www.thestar.com.my/
✓,Malaysia,Sinar Harian,10/11,90.9%,https://www.sinarharian.com.my/
✓,Philippines,Business World,13/14,92.9%,https://www.bworldonline.com/
✓,Singapore,Strait Times,24/25,96.0%,https://www.straitstimes.com/global
✓,Cambodia,AKP,4/4,100.0%,http://www.akp.gov.kh/
✓,Laos,Pathet Lao-Lao,6/6,100.0%,https://kpl.gov.la/Default.aspx
✓,Malaysia,Astro Awani,4/4,100.0%,https://www.astroawani.com/
✓,Malaysia,Malaysiakini,2/2,100.0%,https://www.malaysiakini.com/en
✓,Malaysia,Malaysian Tribune,3/3,100.0%,https://malaysiantribune.com/
✓,Malaysia,Utusan Malaysia,3/3,100.0%,https://www.utusan.com.my/
✓,Myanmar,Frontier Myanmar,1/1,100.0%,https://www.frontiermyanmar.net/en/
✓,Myanmar,Thit Htoo Lwin,1/1,100.0%,http://www.thithtoolwin.com/
✓,Philippines,Abante Tonite,3/3,100.0%,https://tonite.abante.com.ph/
✓,Philippines,Philippines News,1/1,100.0%,https://philnews.ph/
✓,Philippines,The Manila Times,6/6,100.0%,https://www.manilatimes.net/
✓,Philippines,联合日报,5/5,100.0%,http://www.unitednews.net.ph/
✓,Singapore,BeritaHarian,3/3,100.0%,https://www.beritaharian.sg/
✓,Thailand,Naew Na,9/9,100.0%,https://www.naewna.com/
✓,Thailand,The Thaiger,9/9,100.0%,https://thethaiger.com/
✓,Vietnam,An Giang,4/4,100.0%,https://baoangiang.com.vn/
✓,Vietnam,Công an Nhân dân,4/4,100.0%,https://cand.com.vn/
✓,Vietnam,Lao Dong,7/7,100.0%,https://laodong.vn/
✓,Vietnam,Nhan Dan-vi,10/10,100.0%,https://en.nhandan.vn/
✓,Vietnam,Quan Doi Nhan Dan,6/6,100.0%,https://www.qdnd.vn/
✓,Vietnam,Thanh Nien,5/5,100.0%,https://thanhnien.vn/
